Designator,Footprint,Quantity,Value,LCSC Part #
"C12, C13, C14, C15, C28, C33, C50, C58, C6, C66, C67, C68, C69, C70, C72, C73, C78, C79, C80, C81, C82, C83, C84, C85, C86",0402,25,0.1u,
"C30, C31",0402,2,2.2u,
"C34, C35",0402,2,18pF,
"C57, C61, C71, C93",0402,4,1u,
"C62, C63, C74, C75, C76, C77, C87",0402,7,4.7u,
"C88, C89, C91, C92",0603,4,10u,
C94,0402,1,10p,
"D1, D16",0603,2,R,
"D10, D13, D5",0603,3,B,
"D11, D12",0603,2,W,
"D14, D15",0603,2,O,
"D17, D3",0603,2,G,
F1,0603,1,box,
FB1,0603,1,600Ω/500mA,
J1,PinSocket_1x04_P2.54mm_Horizontal,1,Conn_01x04,
J2,SMA_Conn,1,SMA-J,
J3,JST_ZH_B5B-ZR_1x05_P1.50mm_Vertical,1,Conn_01x05,
"J4, J6",SolderWirePad_1x01_SMD_1.5x3mm,2,Conn_01x01,
J5,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Conn_01x02,
J7,JST_ZH_B6B-ZR_1x06_P1.50mm_Vertical,1,Conn_01x06,
L1,1008,1,2.2u,
L2,0603,1,0.47u,
Q1,SC-59,1,2SC3325-Y,
"R1, R31, R44",WA04X102,3,WA04X102,
"R11, R2, R21, R25, R30, R32, R33, R34, R35, R36, R37, R38, R4, R43, R45, R46, R47, R6, R7",0402,19,1k,
"R12, R23, R39",0402,3,10k,
R24,0603,1,2.2k,
"R26, R27",0603,2,1k,
"R28, R29",0603,2,10k,
R3,0402,1,2.2k,
R40,0402,1,88.7k,
R41,0402,1,19.6k,
R42,0402,1,100k,
"R5, R8",0402,2,22,
"R77, R78",0402,2,4.7k,
"SW1, SW2",switch_TVAF06-A020B-R,2,SW_Push,
U1,LQFP-100_14x14mm_P0.5mm,1,STM32H723VGTx,
U10,SOT-23-5,1,MCP73831-2-OT,
"U11, U15",SOT-363_SC-70-6,2,LM66100DCK,
U12,SOT-23-5_HandSoldering,1,NJM12877,
U13,Texas_DYY0016A_TSOT-23-16_2x4.2mm_P0.5mm,1,TXB0606DYYR,
U14,SOT-583-8,1,TPS628513DRLR,
U18,USB_C_Receptacle_Nelton_5077CR-16-SMC2-BK-TR,1,USB_Type-C,
U2,LBEE5HY2FY,1,LBEE5HY2FY,
U3,UQFN-12,1,TXU0204,
"U5, U7",RKJXV122400R,2,RKJXV122400R,
U6,WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm,1,IS25LP064D-JLLE,
"U8, U9",TMHU28,2,TMHU28,
Y2,XRCGB25M000FFS1AR0,1,XRCGB25M000FFS1AR0,
