Designator,Mid X,Mid Y,Rotation,Layer
C12,200.0,-48.037498,90.0,top
C13,201.582499,-53.165,180.0,top
C14,189.748717,-69.498717,315.0,top
C15,192.930697,-66.316736,315.0,top
C28,154.175,-80.5075,270.0,top
C30,176.7675,-87.27,0.0,top
C31,180.9075,-68.68,0.0,top
C33,176.7675,-86.01,0.0,top
C34,158.406483,-77.110868,225.0,top
C35,158.413554,-74.74206,135.0,top
C50,180.91,-69.87,0.0,top
C57,159.319691,-78.86,90.0,top
C58,160.589691,-78.86,90.0,top
C6,196.56,-49.767498,90.0,top
C61,160.03,-71.47,90.0,top
C62,187.317499,-63.91,0.0,top
C63,186.1825,-69.9825,180.0,top
C66,161.31,-71.47,90.0,top
C67,161.31,-74.1,90.0,top
C68,163.64,-86.0,180.0,top
C69,160.59,-81.3375,270.0,top
C70,178.99,-85.33,270.0,top
C71,159.32,-81.3375,270.0,top
C72,178.89,-68.1225,90.0,top
C73,163.78,-67.4325,90.0,top
C74,181.75,-78.7025,270.0,top
C75,148.6825,-52.51,180.0,top
C76,148.6825,-53.58,180.0,top
C77,149.75,-55.72,270.0,top
C78,151.9125,-46.03,180.0,top
C79,140.508717,-39.678717,135.0,top
C80,143.56,-44.6,90.0,top
C81,138.46,-44.6,90.0,top
C82,145.23,-46.120001,180.0,top
C83,144.2425,-52.24,180.0,top
C84,164.44,-56.235,270.0,top
C85,166.5125,-56.525,180.0,top
C86,183.84,-53.3525,90.0,top
C87,185.139998,-53.352501,90.0,top
C88,197.104999,-57.407498,90.0,top
C89,198.71773,-57.407498,90.0,top
C91,188.497728,-56.907498,90.0,top
C92,186.857728,-56.907498,90.0,top
C93,196.547728,-54.969999,0.0,top
C94,190.765228,-56.479999,0.0,top
D1,157.62875,-68.277501,270.0,top
D10,152.367499,-68.277501,270.0,top
D11,184.75,-42.5,270.0,top
D12,182.86,-67.657501,90.0,top
D13,150.613748,-68.277501,270.0,top
D14,161.233751,-68.277501,270.0,top
D15,159.431251,-68.277501,270.0,top
D16,181.75,-84.280001,90.0,top
D17,190.255,-84.28,270.0,top
D3,155.874999,-68.277501,270.0,top
D5,154.12125,-68.277501,270.0,top
F1,185.874999,-72.41,0.0,top
FB1,198.28,-49.467499,90.0,top
J1,206.480001,-33.55,270.0,bottom
J2,170.0,-39.5,90.0,top
J3,134.674229,-62.12,270.0,top
J4,210.37,-50.43,135.0,top
J5,186.0,-75.55,180.0,top
J6,199.62,-39.55,135.0,top
J7,205.32,-62.12,90.0,top
L1,152.45,-56.83,0.0,top
L2,191.072728,-57.769998,180.0,top
Q1,145.61,-56.108338,0.0,top
R1,128.948919,-35.23,0.0,top
R11,152.367499,-71.2275,90.0,top
R12,147.89,-46.13,0.0,top
R2,157.62875,-71.2275,90.0,top
R21,184.75,-45.6,90.0,top
R23,157.35,-80.525,90.0,top
R24,184.850001,-61.95,90.0,top
R25,183.4575,-70.2725,0.0,top
R26,177.724765,-78.135235,315.0,bottom
R27,182.3275,-75.85,0.0,bottom
R28,205.7,-84.8,0.0,top
R29,148.01,-88.05,0.0,top
R3,145.81,-53.1,225.0,top
R30,200.84,-32.8,270.0,top
R31,211.145,-38.26,0.0,top
R32,150.613748,-71.2275,90.0,top
R33,155.17,-75.32,90.0,top
R34,153.86,-75.32,90.0,top
R35,181.75,-81.2525,270.0,top
R36,190.255,-81.2525,90.0,top
R37,155.48,-44.86,180.0,top
R38,155.48,-46.07,180.0,top
R39,145.825,-58.825,0.0,top
R4,155.875,-71.2275,90.0,top
R40,190.735228,-55.449999,0.0,top
R41,193.207728,-55.447997,0.0,top
R42,194.185229,-54.229999,0.0,top
R43,159.63,-54.5775,270.0,top
R44,169.663916,-72.157175,225.0,bottom
R45,181.7275,-73.93,0.0,bottom
R46,181.7275,-72.9,0.0,bottom
R47,177.3,-74.51,45.0,bottom
R5,190.35,-52.05,225.0,top
R6,154.121249,-71.2275,90.0,top
R7,138.59,-32.36,270.0,top
R77,198.57,-44.37,0.0,top
R78,198.57,-45.44,0.0,top
R8,189.568413,-51.268413,225.0,top
SW1,152.1,-88.065,0.0,top
SW2,156.22,-88.065,0.0,top
U1,170.800001,-76.255,270.0,top
U10,185.8,-66.6725,270.0,top
U11,201.5,-50.7125,90.0,top
U12,140.9975,-43.8175,90.0,top
U13,145.9,-49.2,180.0,top
U14,194.215,-57.519999,180.0,top
U15,191.334403,-68.029702,225.0,top
U18,191.72,-42.79,180.0,top
U2,154.7175,-50.7125,180.0,top
U3,166.58,-54.455,180.0,top
U5,140.8,-77.2,0.0,top
U6,178.9,-55.825,0.0,top
U7,199.2,-77.2,0.0,top
U8,133.52392,-26.5,0.0,top
U9,206.5,-26.5,0.0,top
Y2,157.282183,-76.071421,225.0,top
